Deliverable,Topic,Domain,Estimation,Expertise
Seamless automation workflow,Suiteless content generation,EmailCore,8,HARD
Seamless automation workflow,Suiteless content generation,Personalization,8,HARD
Seamless automation workflow,Suiteless content generation,Editor,8,LIGHT
Remove Branches From AC,New Behavior Tracking,Editor,4,MEDIUM
Remove Branches From AC,New Behavior Tracking,BehaviorTracking,20,UNKNOWN
Remove Branches From AC,New Behavior Tracking,EmailCore,3,HARD
Remove Branches From AC,New Behavior Tracking,Personalization,2,MEDIUM
Remove Branches From AC,API for translation,Editor,3,MEDIUM
Multilanguage CMS,Fix Block Template List,Editor,1,MEDIUM
Advanced CMS,Base Variant,Editor,2,MEDIUM
Advanced CMS,Update mechanism,Editor,4,MEDIUM
Advanced CMS,DB Migration,Editor,4,HARD
Multilanguage CMS,Edit variants independently and in parallel,Editor,4,LIGHT
Advanced CMS,Status&History,Editor,8,MEDIUM
Advanced CMS,Reporting,Reporting,4,UNKNOWN
Advanced CMS,Reporting,Personalization,2,LIGHT
Advanced CMS,Variant Testing,Editor,2,LIGHT
Advanced CMS,Variant Testing,EmailCore,2,HARD
Advanced CMS,Variant Testing,Personalization,1,MEDIUM
